framework,problem,seed,n_evals,hypervolume
jMetalPy,zdt1,2,48000,0.9907954925354714
jMetalPy,zdt1,2,49000,0.9911027330551315
jMetalPy,zdt1,2,50000,0.9915309353021391
VAMOS (numba),zdt1,3,1000,0.0
VAMOS (numba),zdt1,3,2000,0.13810787313515646
VAMOS (numba),zdt1,3,3000,0.3619792618675964
VAMOS (numba),zdt1,3,4000,0.5692058405957999
VAMOS (numba),zdt1,3,5000,0.7436047683015893
VAMOS (numba),zdt1,3,6000,0.8529045353465854
VAMOS (numba),zdt1,3,7000,0.9053346641246188
VAMOS (numba),zdt1,3,8000,0.9367940886267118
VAMOS (numba),zdt1,3,9000,0.9582445243742101
VAMOS (numba),zdt1,3,10000,0.9694390364037968
VAMOS (numba),zdt1,3,11000,0.975610217669006
VAMOS (numba),zdt1,3,12000,0.9790688559178566
VAMOS (numba),zdt1,3,13000,0.9817717976860812
VAMOS (numba),zdt1,3,14000,0.9837893453792377
VAMOS (numba),zdt1,3,15000,0.9855218256396172
VAMOS (numba),zdt1,3,16000,0.9856078079118978
VAMOS (numba),zdt1,3,17000,0.9868196774457761
VAMOS (numba),zdt1,3,18000,0.987140324933201
VAMOS (numba),zdt1,3,19000,0.9874237280910514
VAMOS (numba),zdt1,3,20000,0.9881169880782723
VAMOS (numba),zdt1,3,21000,0.9883247099414393
VAMOS (numba),zdt1,3,22000,0.9892989323414074
VAMOS (numba),zdt1,3,23000,0.9891748756117714
VAMOS (numba),zdt1,3,24000,0.9889747183281445
VAMOS (numba),zdt1,3,25000,0.9891453705938006
VAMOS (numba),zdt1,3,26000,0.9900922415222702
VAMOS (numba),zdt1,3,27000,0.9899657492597349
VAMOS (numba),zdt1,3,28000,0.990631445618426
VAMOS (numba),zdt1,3,29000,0.9902683170481468
VAMOS (numba),zdt1,3,30000,0.9908478767759393
VAMOS (numba),zdt1,3,31000,0.9904754112056511
VAMOS (numba),zdt1,3,32000,0.9904249611171072
VAMOS (numba),zdt1,3,33000,0.990322946061687
VAMOS (numba),zdt1,3,34000,0.9907192070092905
VAMOS (numba),zdt1,3,35000,0.9904764870730999
VAMOS (numba),zdt1,3,36000,0.9905807402529051
VAMOS (numba),zdt1,3,37000,0.9900924470276976
VAMOS (numba),zdt1,3,38000,0.9907419960179334
VAMOS (numba),zdt1,3,39000,0.9904231353130613
VAMOS (numba),zdt1,3,40000,0.9907748733337555
VAMOS (numba),zdt1,3,41000,0.9903626262836149
VAMOS (numba),zdt1,3,42000,0.9903108894301353
VAMOS (numba),zdt1,3,43000,0.9903178693212237
VAMOS (numba),zdt1,3,44000,0.9909992077499925
VAMOS (numba),zdt1,3,45000,0.9902194354294758
VAMOS (numba),zdt1,3,46000,0.9904962149570714
VAMOS (numba),zdt1,3,47000,0.9901755032088774
VAMOS (numba),zdt1,3,48000,0.9904477838642088
